GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
devlapp,com.devcollab.service.system,ProjectAuthorizationService,30,0,2,0,7,0,3,0,2,0
devlapp,com.devcollab.service.system,JwtService,25,67,0,0,7,24,2,5,2,5
devlapp,com.devcollab.service.system,MailService,0,45,0,0,0,14,0,2,0,2
devlapp,com.devcollab.service.system,OtpService,0,166,0,6,0,27,0,9,0,6
devlapp,com.devcollab,DevCollabApp,26,0,0,0,9,0,2,0,2,0
devlapp,com.devcollab.service.impl.system,NotificationServiceImpl,193,0,4,0,54,0,7,0,5,0
devlapp,com.devcollab.service.impl.system,ProjectMemberServiceImpl,303,0,28,0,58,0,27,0,13,0
devlapp,com.devcollab.service.impl.system,ProjectTargetServiceImpl,53,0,2,0,14,0,4,0,3,0
devlapp,com.devcollab.service.impl.system,ActivityServiceImpl,61,0,2,0,22,0,3,0,2,0
devlapp,com.devcollab.service.impl.system,AuthServiceImpl,10,177,7,19,1,45,7,9,0,3
devlapp,com.devcollab.service.impl.system,DashboardServiceImpl,313,0,33,0,63,0,33,0,7,0
devlapp,com.devcollab.service.impl.core,ProjectServiceImpl,1041,0,66,0,217,0,71,0,38,0
devlapp,com.devcollab.service.impl.core,TaskServiceImpl,675,0,62,0,149,0,61,0,30,0
devlapp,com.devcollab.service.impl.core,UserServiceImpl,470,0,44,0,106,0,46,0,24,0
devlapp,com.devcollab.service.impl.core,BoardColumnServiceImpl,24,0,0,0,5,0,4,0,4,0
devlapp,com.devcollab.service.impl.core,TaskFollowerServiceImpl,91,0,4,0,21,0,7,0,5,0
